area_code,type,diocese,sa_2022_code,african_caribbean_black,asian,other,white
077060004,ROI small area,"Tuam, Limerick and Killaloe",077060004,0,0,0,86
077036001/077036003,ROI small area,"Tuam, Limerick and Killaloe",077036001/077036003,0,0,1,116
077013001,ROI small area,"Tuam, Limerick and Killaloe",077013001,0,0,2,93
077075001,ROI small area,"Tuam, Limerick and Killaloe",077075001,0,1,0,169
077131001,ROI small area,"Tuam, Limerick and Killaloe",077131001,2,1,3,182
077035004,ROI small area,"Tuam, Limerick and Killaloe",077035004,0,0,1,184
077045004,ROI small area,"Tuam, Limerick and Killaloe",077045004,1,0,0,213
077105001,ROI small area,"Tuam, Limerick and Killaloe",077105001,0,2,2,168
077050001,ROI small area,"Tuam, Limerick and Killaloe",077050001,0,0,0,55
077124001,ROI small area,"Tuam, Limerick and Killaloe",077124001,0,4,1,92
077078002,ROI small area,"Tuam, Limerick and Killaloe",NA,NA,NA,NA,NA
077078007/077078008,ROI small area,"Tuam, Limerick and Killaloe",NA,NA,NA,NA,NA
077057001,ROI small area,"Tuam, Limerick and Killaloe",077057001,0,0,1,170
077134001,ROI small area,"Tuam, Limerick and Killaloe",077134001,0,0,0,261
077006001,ROI small area,"Tuam, Limerick and Killaloe",077006001,0,1,3,93
077061004,ROI small area,"Cork, Cloyne and Ross",077061004,1,0,0,172
077061001/077061003,ROI small area,"Tuam, Limerick and Killaloe",077061001/077061003,0,1,1,116
077070002/077070003,ROI small area,"Tuam, Limerick and Killaloe",077070002/077070003,0,2,4,137
077038002,ROI small area,"Tuam, Limerick and Killaloe",077038002,0,0,0,185
047008001,ROI small area,"Cork, Cloyne and Ross",047008001,1,3,0,226
077080001,ROI small area,"Cork, Cloyne and Ross",077080001,0,0,5,146
077097004,ROI small area,"Tuam, Limerick and Killaloe",NA,NA,NA,NA,NA
077079001,ROI small area,"Cork, Cloyne and Ross",077079001,0,1,1,173
077089010,ROI small area,"Tuam, Limerick and Killaloe",077089010,1,1,0,273
077058001,ROI small area,"Tuam, Limerick and Killaloe",077058001,0,0,3,143
077058002,ROI small area,"Tuam, Limerick and Killaloe",077058002,0,0,1,226
077072001,ROI small area,"Tuam, Limerick and Killaloe",NA,NA,NA,NA,NA
077047001,ROI small area,"Tuam, Limerick and Killaloe",077047001,0,0,1,124
077097002,ROI small area,"Tuam, Limerick and Killaloe",NA,NA,NA,NA,NA
077101002,ROI small area,"Tuam, Limerick and Killaloe",077101002,10,7,20,507
077053001,ROI small area,"Tuam, Limerick and Killaloe",077053001,0,1,0,290
077033003,ROI small area,"Tuam, Limerick and Killaloe",077033003,0,2,1,247
077137001,ROI small area,"Tuam, Limerick and Killaloe",077137001,0,0,0,239
077082009,ROI small area,"Tuam, Limerick and Killaloe",077082009,0,0,2,279
077116002,ROI small area,"Tuam, Limerick and Killaloe",077116002,2,1,3,177
077116001,ROI small area,"Tuam, Limerick and Killaloe",077116001,0,0,1,133
077137002,ROI small area,"Tuam, Limerick and Killaloe",077137002,0,0,1,179
077022001,ROI small area,"Tuam, Limerick and Killaloe",077022001,0,0,1,141
077012003,ROI small area,"Tuam, Limerick and Killaloe",NA,NA,NA,NA,NA
047225002,ROI small area,"Cork, Cloyne and Ross",047225002,0,0,1,130
047174001,ROI small area,"Cork, Cloyne and Ross",047174001,1,5,6,350
047292001,ROI small area,"Cork, Cloyne and Ross",047292001,0,6,4,163
037098001,ROI small area,"Tuam, Limerick and Killaloe",037098001,0,0,3,189
037038001,ROI small area,"Tuam, Limerick and Killaloe",037038001,0,1,0,260
037079001,ROI small area,"Tuam, Limerick and Killaloe",037079001,0,0,2,308
037071001,ROI small area,"Tuam, Limerick and Killaloe",037071001,0,1,1,265
067110001/067110002,ROI small area,"Tuam, Limerick and Killaloe",067110001/067110002,1,0,0,197
067186001/067186003/067186004,ROI small area,"Tuam, Limerick and Killaloe",067186001/067186003/067186004,0,4,1,136
067197001,ROI small area,"Tuam, Limerick and Killaloe",067197001,2,3,0,230
117049001/117076001,ROI small area,"Kilmore, Elphin and Ardagh",117049001/117076001,0,1,2,357
117031001/117034001,ROI small area,"Kilmore, Elphin and Ardagh",117031001/117034001,0,0,1,162
027075001/027088001,ROI small area,"Kilmore, Elphin and Ardagh",027075001/027088001,0,1,1,183
117050003,ROI small area,"Kilmore, Elphin and Ardagh",117050003,0,0,2,172
027091001,ROI small area,"Kilmore, Elphin and Ardagh",027091001,0,0,0,322
077145001/077145003,ROI small area,"Tuam, Limerick and Killaloe",077145001/077145003,0,0,4,224
077165003,ROI small area,"Tuam, Limerick and Killaloe",077165003,0,0,0,84
077159002,ROI small area,"Tuam, Limerick and Killaloe",077159002,0,0,0,130
077165006,ROI small area,"Tuam, Limerick and Killaloe",077165006,0,0,0,109
077045001/077045002,ROI small area,"Tuam, Limerick and Killaloe",077045001/077045002,0,1,3,138
077166003,ROI small area,"Tuam, Limerick and Killaloe",077166003,0,0,1,109
077074001/077074002,ROI small area,"Tuam, Limerick and Killaloe",077074001/077074002,0,1,1,147
077132002,ROI small area,"Tuam, Limerick and Killaloe",077132002,1,1,2,143
077108003,ROI small area,"Tuam, Limerick and Killaloe",077108003,0,0,0,132
077082005,ROI small area,"Tuam, Limerick and Killaloe",077082005,0,0,2,265
077112001,ROI small area,"Tuam, Limerick and Killaloe",077112001,0,0,0,144
077112002,ROI small area,"Tuam, Limerick and Killaloe",077112002,0,2,0,127
047119001/047119005,ROI small area,"Cork, Cloyne and Ross",047119001/047119005,0,2,4,64
047119002/047119003/047119004,ROI small area,"Cork, Cloyne and Ross",047119002/047119003/047119004,0,0,1,120
047068002,ROI small area,"Cork, Cloyne and Ross",047068002,0,0,0,102
047213001/047213003/047213004,ROI small area,"Cork, Cloyne and Ross",047213001/047213003/047213004,0,0,0,169
047213002,ROI small area,"Cork, Cloyne and Ross",047213002,0,1,1,188
047163001/047163004,ROI small area,"Cork, Cloyne and Ross",047163001/047163004,0,1,1,77
047289002,ROI small area,"Cork, Cloyne and Ross",047289002,0,2,0,89
047116003/047116004,ROI small area,"Cork, Cloyne and Ross",047116003/047116004,0,1,3,131
