area_code,type,diocese,sa_2022_code,one_person,married_couple,cohabiting_couple,married_couple_with_children,cohabiting_couple_with_children,one_parent_family_father_with_children,one_parent_family_mother_and_children,couple_and_others,couple_with_children_and_others,one_parent_family_father_with_children_and_others,one_parent_family_mother_with_children_and_others,two_or_more_family_units,non_family_households_and_relations,two_or_more_non_related_persons
037104001,ROI small area,"Tuam, Limerick and Killaloe",037104001,27,9,1,24,1,3,5,2,1,0,0,0,0,1
037116001,ROI small area,"Tuam, Limerick and Killaloe",037116001,29,20,3,28,2,2,5,1,2,0,2,0,2,2
037008001/037067001,ROI small area,"Tuam, Limerick and Killaloe",037008001/037067001,18,15,1,32,3,1,6,0,0,0,1,0,0,2
037015001,ROI small area,"Tuam, Limerick and Killaloe",037015001,33,31,5,38,4,7,7,2,5,2,1,0,4,2
037127001,ROI small area,"Tuam, Limerick and Killaloe",037127001,21,17,2,44,3,1,4,1,2,0,0,0,2,2
037020001,ROI small area,"Tuam, Limerick and Killaloe",037020001,15,8,1,15,2,1,4,0,3,1,0,0,0,22
067168001/067171002/067171001,ROI small area,"Tuam, Limerick and Killaloe",067168001/067171002/067171001,36,30,8,35,5,6,16,2,4,1,1,1,4,5
067125001,ROI small area,"Tuam, Limerick and Killaloe",067125001,32,11,4,35,3,0,3,0,4,0,0,4,1,4
067185001,ROI small area,"Tuam, Limerick and Killaloe",067185001,16,11,2,20,5,1,7,1,4,0,0,0,2,1
067055005,ROI small area,"Tuam, Limerick and Killaloe",067055005,5,14,2,41,2,0,4,0,5,0,2,3,1,3
047005001,ROI small area,"Cork, Cloyne and Ross",047005001,13,18,4,30,1,1,3,2,7,2,0,1,1,1
227014001,ROI small area,"Cork, Cloyne and Ross",227014001,24,18,3,42,7,5,7,2,6,0,1,3,1,4
217037001,ROI small area,"Cork, Cloyne and Ross",217037001,29,16,2,22,2,3,6,1,0,1,0,2,1,0
217109001,ROI small area,"Tuam, Limerick and Killaloe",217109001,31,20,2,52,3,1,7,1,5,0,0,2,2,3
217086001/217117001,ROI small area,"Tuam, Limerick and Killaloe",217086001/217117001,20,22,7,62,4,1,9,2,3,2,3,0,3,4
217118001,ROI small area,"Tuam, Limerick and Killaloe",217118001,38,18,3,51,2,2,8,2,5,0,0,5,1,3
217124001,ROI small area,"Tuam, Limerick and Killaloe",217124001,13,9,1,31,3,1,7,1,3,0,0,0,0,0
187021001,ROI small area,"Tuam, Limerick and Killaloe",187021001,25,25,5,50,2,2,8,1,3,0,0,0,3,0
067081001/067084001/067084002,ROI small area,"Tuam, Limerick and Killaloe",067081001/067084001/067084002,35,28,8,29,3,2,7,6,3,1,1,1,0,4
067199002/067199004,ROI small area,"Tuam, Limerick and Killaloe",067199002/067199004,20,11,1,10,2,2,5,1,1,0,0,0,0,1
067109001/067109002,ROI small area,"Tuam, Limerick and Killaloe",067109001/067109002,27,9,4,15,2,2,9,1,2,0,0,1,1,7
067182002,ROI small area,"Tuam, Limerick and Killaloe",067182002,15,9,2,21,0,1,4,0,1,0,1,0,1,2
067037001,ROI small area,"Tuam, Limerick and Killaloe",067037001,14,11,2,10,2,1,5,2,0,0,1,0,3,4
047155001,ROI small area,"Cork, Cloyne and Ross",047155001,24,16,3,43,2,2,5,1,4,1,1,1,0,4
047255001,ROI small area,"Cork, Cloyne and Ross",047255001,13,13,2,19,2,3,4,0,2,0,0,1,5,2
047146001,ROI small area,"Cork, Cloyne and Ross",047146001,17,12,3,28,1,2,6,0,1,2,1,0,1,1
047113001,ROI small area,"Cork, Cloyne and Ross",047113001,13,14,3,34,4,4,8,0,0,0,0,1,1,7
047283001,ROI small area,"Cork, Cloyne and Ross",047283001,31,22,2,40,4,1,12,5,3,0,0,3,3,5
047095001,ROI small area,"Cork, Cloyne and Ross",047095001,24,17,3,46,5,0,11,0,4,0,2,1,3,0
047211001,ROI small area,"Cork, Cloyne and Ross",047211001,17,10,5,48,3,3,3,3,5,0,2,1,4,0
047247002,ROI small area,"Cork, Cloyne and Ross",047247002,18,14,3,40,7,0,3,0,2,0,3,0,2,3
047247001,ROI small area,"Cork, Cloyne and Ross",047247001,26,13,4,36,4,1,6,0,4,0,0,1,0,7
047160003,ROI small area,"Cork, Cloyne and Ross",047160003,27,20,3,42,5,0,11,0,3,0,0,1,0,5
047265002,ROI small area,"Cork, Cloyne and Ross",047265002,15,15,3,23,3,0,3,0,0,0,0,1,2,3
047082006,ROI small area,"Cork, Cloyne and Ross",047082006,33,21,4,36,3,7,2,2,2,1,0,1,1,9
047321001,ROI small area,"Cork, Cloyne and Ross",047321001,16,15,4,28,3,1,4,0,1,0,1,0,1,1
047232002,ROI small area,"Cork, Cloyne and Ross",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
047073001,ROI small area,"Cork, Cloyne and Ross",047073001,23,12,4,15,3,1,7,0,0,0,1,0,6,1
047104001,ROI small area,"Cork, Cloyne and Ross",047104001,13,13,3,25,1,2,5,1,0,0,1,3,1,3
047274003/047274004,ROI small area,"Cork, Cloyne and Ross",047274003/047274004,15,14,2,20,0,0,7,0,0,0,1,1,0,4
047126002/047126003/047126004/047126005,ROI small area,"Cork, Cloyne and Ross",047126002/047126003/047126004/047126005,36,21,3,43,5,4,3,2,0,0,1,3,2,1
047065002,ROI small area,"Cork, Cloyne and Ross",047065002,24,10,0,19,3,1,5,1,6,0,0,0,0,2
047065001,ROI small area,"Cork, Cloyne and Ross",047065001,19,13,4,25,3,2,4,1,1,1,0,0,1,5
047137001,ROI small area,"Cork, Cloyne and Ross",047137001,26,32,4,48,4,1,6,0,6,1,2,1,5,8
047133001,ROI small area,"Cork, Cloyne and Ross",047133001,19,12,2,25,5,1,3,0,3,0,0,0,2,3
047138001,ROI small area,"Cork, Cloyne and Ross",047138001,27,14,1,40,4,0,3,0,3,0,0,0,3,7
047217002,ROI small area,"Cork, Cloyne and Ross",047217002,24,18,3,38,5,2,7,1,3,0,1,1,1,2
047140004,ROI small area,"Cork, Cloyne and Ross",047140004,27,13,3,49,2,1,7,1,5,1,0,2,1,2
047217003,ROI small area,"Cork, Cloyne and Ross",047217003,20,19,6,33,2,0,3,1,3,1,0,1,5,2
047085001,ROI small area,"Tuam, Limerick and Killaloe",047085001,32,31,6,42,5,0,9,2,2,0,1,0,5,5
047280002,ROI small area,"Cork, Cloyne and Ross",047280002,20,12,2,28,2,0,0,2,1,1,1,1,3,0
047022002,ROI small area,"Cork, Cloyne and Ross",047022002,9,15,4,38,1,3,9,1,4,1,2,1,2,2
047245001,ROI small area,"Cork, Cloyne and Ross",047245001,26,19,6,43,3,1,6,1,2,0,0,1,1,0
047037003,ROI small area,"Cork, Cloyne and Ross",047037003,16,18,3,31,4,2,3,1,2,0,1,0,1,0
047273001,ROI small area,"Cork, Cloyne and Ross",047273001,17,12,1,43,1,2,3,0,0,0,2,0,6,2
047070001,ROI small area,"Cork, Cloyne and Ross",047070001,8,7,6,25,0,0,2,0,1,0,0,0,2,2
047260001,ROI small area,"Cork, Cloyne and Ross",047260001,13,14,1,40,5,0,6,1,1,0,2,0,0,0
047273003,ROI small area,"Cork, Cloyne and Ross",047273003,23,34,3,60,6,1,6,2,2,1,0,0,1,4
047069001,ROI small area,"Cork, Cloyne and Ross",047069001,17,24,2,26,2,1,6,2,1,1,0,1,2,2
047093001,ROI small area,"Cork, Cloyne and Ross",047093001,33,18,4,45,6,3,3,3,5,0,2,3,4,0
047194001,ROI small area,"Cork, Cloyne and Ross",047194001,26,17,6,33,4,1,7,1,2,1,0,0,3,2
047030001,ROI small area,"Cork, Cloyne and Ross",047030001,23,14,7,21,1,0,4,2,2,0,0,1,1,1
047087003,ROI small area,"Cork, Cloyne and Ross",047087003,21,21,4,32,1,3,3,2,2,0,0,0,2,0
047184001,ROI small area,"Tuam, Limerick and Killaloe",047184001,32,18,4,54,4,1,11,0,0,0,5,2,0,1
047081001,ROI small area,"Tuam, Limerick and Killaloe",047081001,26,20,3,45,3,1,5,1,0,0,1,0,0,1
047233002,ROI small area,"Cork, Cloyne and Ross",047233002,24,23,2,48,7,0,13,0,2,0,0,2,5,4
047238002,ROI small area,"Cork, Cloyne and Ross",047238002,24,26,4,51,4,1,2,1,5,1,1,4,1,0
047305001,ROI small area,"Cork, Cloyne and Ross",047305001,28,19,3,41,4,3,16,1,3,0,0,3,4,4
047060002,ROI small area,"Cork, Cloyne and Ross",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
047091001,ROI small area,"Cork, Cloyne and Ross",047091001,29,20,4,45,6,2,5,2,2,0,0,2,3,3
047060003,ROI small area,"Cork, Cloyne and Ross",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
047009002,ROI small area,"Cork, Cloyne and Ross",047009002,15,15,5,35,3,1,7,1,1,0,1,1,3,2
047139001,ROI small area,"Cork, Cloyne and Ross",047139001,21,16,4,40,3,2,10,4,0,0,0,2,2,7
047091002,ROI small area,"Cork, Cloyne and Ross",047091002,19,14,5,32,5,1,7,1,0,0,0,1,5,5
047257001,ROI small area,"Cork, Cloyne and Ross",047257001,15,15,1,23,2,0,3,1,3,0,1,1,2,6
047297002,ROI small area,"Cork, Cloyne and Ross",047297002,27,26,5,42,3,2,11,6,0,1,1,2,0,6
047316001,ROI small area,"Cork, Cloyne and Ross",047316001,19,18,1,33,5,0,3,3,5,0,0,1,1,0
047288001,ROI small area,"Cork, Cloyne and Ross",047288001,25,26,3,29,4,0,2,1,3,0,1,2,2,0
047212002,ROI small area,"Cork, Cloyne and Ross",047212002,22,16,5,45,6,2,8,3,0,1,0,2,0,0
047059001/047059002/047059003,ROI small area,"Cork, Cloyne and Ross",047059001/047059002/047059003,10,14,0,27,1,0,3,0,3,0,0,1,5,0
047001003,ROI small area,"Cork, Cloyne and Ross",047001003,18,12,2,38,5,2,3,0,2,0,1,1,2,2
047059004,ROI small area,"Cork, Cloyne and Ross",047059004,20,10,2,44,1,2,2,0,1,0,0,0,3,0
047001002,ROI small area,"Cork, Cloyne and Ross",047001002,18,18,3,31,6,1,2,1,3,0,1,0,2,2
047112001,ROI small area,"Cork, Cloyne and Ross",047112001,18,11,0,43,1,1,3,0,2,0,1,0,0,0
047078001,ROI small area,"Cork, Cloyne and Ross",047078001,26,23,4,64,6,2,5,3,1,0,1,4,4,2
047186001,ROI small area,"Cork, Cloyne and Ross",047186001,15,13,3,31,3,5,4,2,4,1,1,1,2,1
047186006,ROI small area,"Cork, Cloyne and Ross",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
047186005,ROI small area,"Cork, Cloyne and Ross",047186005,25,18,3,45,2,3,7,0,1,1,0,1,1,0
047221002,ROI small area,"Cork, Cloyne and Ross",047221002,19,13,3,31,3,0,2,2,6,0,2,2,1,2
047223001/047223002,ROI small area,"Cork, Cloyne and Ross",047223001/047223002,26,21,6,59,3,2,10,1,2,0,1,0,2,1
047269001,ROI small area,"Cork, Cloyne and Ross",047269001,26,16,3,52,4,1,2,0,5,1,0,0,1,2
047032001,ROI small area,"Cork, Cloyne and Ross",047032001,16,7,8,38,8,2,7,1,1,0,4,1,0,0
047025001,ROI small area,"Cork, Cloyne and Ross",047025001,24,29,6,53,3,3,9,2,5,0,0,2,2,0
077060004,ROI small area,"Tuam, Limerick and Killaloe",077060004,15,11,1,8,1,0,0,0,1,0,0,1,0,1
077036001/077036003,ROI small area,"Tuam, Limerick and Killaloe",077036001/077036003,20,13,1,10,3,2,2,0,0,0,0,0,3,3
077013001,ROI small area,"Tuam, Limerick and Killaloe",077013001,11,11,1,9,2,2,2,0,0,0,0,0,1,2
077075001,ROI small area,"Tuam, Limerick and Killaloe",077075001,13,12,4,22,4,1,3,1,1,0,1,0,1,1
077131001,ROI small area,"Tuam, Limerick and Killaloe",077131001,22,22,4,20,1,1,4,0,1,0,0,0,3,1
077035004,ROI small area,"Tuam, Limerick and Killaloe",077035004,22,21,3,18,5,3,4,0,1,0,1,0,2,5
077045004,ROI small area,"Tuam, Limerick and Killaloe",077045004,18,22,3,26,4,1,4,0,2,0,1,2,3,0
077105001,ROI small area,"Tuam, Limerick and Killaloe",077105001,20,20,3,15,1,2,3,2,2,0,1,0,2,2
077050001,ROI small area,"Tuam, Limerick and Killaloe",077050001,5,6,0,8,0,0,2,0,0,0,0,0,0,0
