area_code,type,diocese,sa_2022_code,catholic,other_religion,no_religion,not_stated
067037001,ROI small area,"Tuam, Limerick and Killaloe",067037001,140,18,42,19
047155001,ROI small area,"Cork, Cloyne and Ross",047155001,178,42,72,19
047255001,ROI small area,"Cork, Cloyne and Ross",047255001,78,56,38,13
047146001,ROI small area,"Cork, Cloyne and Ross",047146001,139,45,16,11
047113001,ROI small area,"Cork, Cloyne and Ross",047113001,178,4,50,33
047283001,ROI small area,"Cork, Cloyne and Ross",047283001,233,24,96,17
047095001,ROI small area,"Cork, Cloyne and Ross",047095001,206,73,48,9
047211001,ROI small area,"Cork, Cloyne and Ross",047211001,233,50,45,11
047247002,ROI small area,"Cork, Cloyne and Ross",047247002,239,10,23,16
047247001,ROI small area,"Cork, Cloyne and Ross",047247001,226,15,30,39
047160003,ROI small area,"Cork, Cloyne and Ross",047160003,213,13,96,12
047265002,ROI small area,"Cork, Cloyne and Ross",047265002,137,21,31,7
047082006,ROI small area,"Cork, Cloyne and Ross",047082006,240,10,47,32
047321001,ROI small area,"Cork, Cloyne and Ross",047321001,152,14,35,7
047232002,ROI small area,"Cork, Cloyne and Ross",NA,NA,NA,NA,NA
047073001,ROI small area,"Cork, Cloyne and Ross",047073001,132,12,22,3
047104001,ROI small area,"Cork, Cloyne and Ross",047104001,152,12,25,15
047274003/047274004,ROI small area,"Cork, Cloyne and Ross",047274003/047274004,116,1,38,7
047126002/047126003/047126004/047126005,ROI small area,"Cork, Cloyne and Ross",047126002/047126003/047126004/047126005,226,41,51,9
047065002,ROI small area,"Cork, Cloyne and Ross",047065002,131,14,29,11
047065001,ROI small area,"Cork, Cloyne and Ross",047065001,173,6,23,19
047137001,ROI small area,"Cork, Cloyne and Ross",047137001,293,85,56,27
047133001,ROI small area,"Cork, Cloyne and Ross",047133001,158,25,18,9
047138001,ROI small area,"Cork, Cloyne and Ross",047138001,199,14,40,44
047217002,ROI small area,"Cork, Cloyne and Ross",047217002,244,12,41,12
047140004,ROI small area,"Cork, Cloyne and Ross",047140004,272,10,48,10
047217003,ROI small area,"Cork, Cloyne and Ross",047217003,221,8,22,17
047085001,ROI small area,"Tuam, Limerick and Killaloe",047085001,287,16,44,19
047280002,ROI small area,"Cork, Cloyne and Ross",047280002,161,15,33,1
047022002,ROI small area,"Cork, Cloyne and Ross",047022002,223,18,24,12
047245001,ROI small area,"Cork, Cloyne and Ross",047245001,228,19,30,4
047037003,ROI small area,"Cork, Cloyne and Ross",047037003,187,9,19,2
047273001,ROI small area,"Cork, Cloyne and Ross",047273001,227,10,23,8
047070001,ROI small area,"Cork, Cloyne and Ross",047070001,138,0,18,3
